mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
direct_fp32_mkl,contiguous,col_major,direct,4096,128,0,40,40,19.177032,34.99439538,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,1,40,40,19.151477,35.04109056,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,2,40,40,19.143399,35.05587696,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,3,40,40,19.145456,35.05211054,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,4,40,40,19.090529,35.15296197,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,5,40,40,19.0905,35.15301537,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,6,40,40,19.125482,35.08871776,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,7,40,40,19.087774,35.15803571,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,8,40,40,19.12093,35.09707112,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,128,9,40,40,19.084627,35.16383317,1.257705084e-06
fp64,tiled,col_major,right,4096,256,0,40,40,40.181737,16.70133474,4.123617841e-16
fp64,tiled,col_major,right,4096,256,1,40,40,40.226951,16.68256289,4.123617841e-16
fp64,tiled,col_major,right,4096,256,2,40,40,44.273787,15.15769681,4.123617841e-16
fp64,tiled,col_major,right,4096,256,3,40,40,40.221281,16.68491464,4.123617841e-16
fp64,tiled,col_major,right,4096,256,4,40,40,40.240283,16.6770358,4.123617841e-16
fp64,tiled,col_major,right,4096,256,5,40,40,40.22627,16.68284531,4.123617841e-16
fp64,tiled,col_major,right,4096,256,6,40,40,40.236821,16.6784707,4.123617841e-16
fp64,tiled,col_major,right,4096,256,7,40,40,40.21318,16.68827583,4.123617841e-16
fp64,tiled,col_major,right,4096,256,8,40,40,40.233412,16.67988387,4.123617841e-16
fp64,tiled,col_major,right,4096,256,9,40,40,40.627858,16.51794293,4.123617841e-16
fp32_fp64,tiled,col_major,right,4096,256,0,40,40,20.93403,32.05730765,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,1,40,40,20.893423,32.11961199,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,2,40,40,20.879444,32.1411164,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,3,40,40,20.981396,31.98493751,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,4,40,40,20.862768,32.1668074,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,5,40,40,20.874691,32.14843468,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,6,40,40,20.890832,32.12359565,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,7,40,40,20.930727,32.06236649,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,8,40,40,20.869109,32.15703363,4.240014643e-16
fp32_fp64,tiled,col_major,right,4096,256,9,40,40,20.834423,32.21056998,4.240014643e-16
fp32,tiled,col_major,right,4096,256,0,40,40,20.25579,33.13070683,1.267699895e-06
fp32,tiled,col_major,right,4096,256,1,40,40,21.025764,31.91744376,1.267699895e-06
fp32,tiled,col_major,right,4096,256,2,40,40,20.289853,33.07508635,1.267699895e-06
